"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","74.125.130.148","192.168.43.205","QUIC","1399","Protected Payload (KP0), DCID=2c9a91"
"2","0.001709","74.125.130.148","192.168.43.205","QUIC","651","Protected Payload (KP0), DCID=2c9a91"
"3","0.016466","74.125.24.154","192.168.43.205","UDP","70","443  >  55322 Len=28"
"4","0.019136","192.168.43.205","74.125.130.148","QUIC","1399","Initial, DCID=3c33175cb50528ff, SCID=2c9a91"
"5","0.019490","192.168.43.205","74.125.130.148","QUIC","124","Handshake, DCID=3c33175cb50528ff, SCID=2c9a91"
"6","0.020749","192.168.43.205","74.125.130.148","QUIC","74","Protected Payload (KP0), DCID=3c33175cb50528ff"
"7","0.023500","74.125.130.148","192.168.43.205","QUIC","70","Protected Payload (KP0), DCID=2c9a91"
"8","0.077345","74.125.130.148","192.168.43.205","QUIC","137","Protected Payload (KP0), DCID=2c9a91"
"9","0.100133","192.168.43.205","74.125.130.148","QUIC","74","Protected Payload (KP0), DCID=3c33175cb50528ff"
"10","0.212680","192.168.43.205","142.251.10.93","QUIC","1399","0-RTT, DCID=7353a2dde596baec0f, SCID=034534"
"11","0.213683","192.168.43.205","142.251.10.93","QUIC","546","0-RTT, DCID=7353a2dde596baec0f, SCID=034534"
"12","0.279229","142.251.10.93","192.168.43.205","QUIC","1399","Protected Payload (KP0), DCID=034534"
"13","0.287592","192.168.43.205","142.251.10.93","QUIC","1399","Initial, DCID=7353a2dde596baec, SCID=034534, PKN: 1, ACK"
"14","0.290431","142.251.10.93","192.168.43.205","QUIC","651","Protected Payload (KP0), DCID=034534"
"15","0.290431","142.251.10.93","192.168.43.205","QUIC","70","Protected Payload (KP0), DCID=034534"
"16","0.290431","142.251.10.93","192.168.43.205","QUIC","70","Protected Payload (KP0), DCID=034534"
"17","0.290813","192.168.43.205","142.251.10.93","QUIC","124","Handshake, DCID=7353a2dde596baec, SCID=034534"
"18","0.297363","192.168.43.205","142.251.10.93","QUIC","73","Protected Payload (KP0), DCID=7353a2dde596baec"
"19","0.300096","192.168.43.205","142.251.10.93","QUIC","73","Protected Payload (KP0), DCID=7353a2dde596baec"
"20","0.307500","142.251.10.93","192.168.43.205","QUIC","1395","Protected Payload (KP0), DCID=034534"
"21","0.313025","142.251.10.93","192.168.43.205","QUIC","1399","Protected Payload (KP0), DCID=034534"
"22","0.313025","142.251.10.93","192.168.43.205","QUIC","104","Protected Payload (KP0), DCID=034534"
"23","0.313025","142.251.10.93","192.168.43.205","QUIC","70","Protected Payload (KP0), DCID=034534"
"24","0.313025","142.251.10.93","192.168.43.205","QUIC","122","Protected Payload (KP0), DCID=034534"
"25","0.314570","192.168.43.205","142.251.10.93","QUIC","73","Protected Payload (KP0), DCID=7353a2dde596baec"
"26","0.317937","192.168.43.205","142.251.10.93","QUIC","73","Protected Payload (KP0), DCID=7353a2dde596baec"
"27","0.318125","192.168.43.205","142.251.10.93","QUIC","73","Protected Payload (KP0), DCID=7353a2dde596baec"
"28","0.340267","192.168.43.205","142.251.10.93","QUIC","74","Protected Payload (KP0), DCID=7353a2dde596baec"
"29","0.350270","142.251.10.93","192.168.43.205","QUIC","137","Protected Payload (KP0), DCID=034534"
"30","0.372090","192.168.43.205","142.251.10.93","QUIC","74","Protected Payload (KP0), DCID=7353a2dde596baec"
"31","0.394908","142.251.10.93","192.168.43.205","QUIC","70","Protected Payload (KP0), DCID=034534"
"32","0.590134","103.168.134.237","192.168.43.205","TLSv1.2","709","Application Data"
"33","0.633917","192.168.43.205","103.168.134.237","TCP","54","63087  >  443 [ACK] Seq=1 Ack=656 Win=254 Len=0"
"34","0.934949","192.168.43.205","142.251.10.104","QUIC","1399","0-RTT, DCID=5c499d908e9626338758, SCID=846879"
"35","1.018027","142.251.10.104","192.168.43.205","QUIC","1399","Protected Payload (KP0), DCID=846879"
"36","1.018027","142.251.10.104","192.168.43.205","QUIC","651","Protected Payload (KP0), DCID=846879"
"37","1.034932","142.251.10.104","192.168.43.205","QUIC","70","Protected Payload (KP0), DCID=846879"
"38","1.043542","192.168.43.205","142.251.10.104","QUIC","1399","Initial, DCID=5c499d908e962633, SCID=846879, PKN: 1, ACK"
"39","1.044363","192.168.43.205","142.251.10.104","QUIC","124","Handshake, DCID=5c499d908e962633, SCID=846879"
"40","1.046870","192.168.43.205","142.251.10.104","QUIC","73","Protected Payload (KP0), DCID=5c499d908e962633"
"41","1.108098","142.251.10.104","192.168.43.205","QUIC","137","Protected Payload (KP0), DCID=846879"
"42","1.131921","192.168.43.205","142.251.10.104","QUIC","74","Protected Payload (KP0), DCID=5c499d908e962633"
"43","1.223116","192.168.43.205","142.250.4.94","TCP","55","63073  >  80 [ACK] Seq=1 Ack=1 Win=254 Len=1"
"44","1.236983","192.168.43.205","142.250.4.94","TCP","55","63101  >  80 [ACK] Seq=1 Ack=1 Win=254 Len=1"
"45","1.282865","142.250.4.94","192.168.43.205","TCP","66","80  >  63101 [ACK] Seq=1 Ack=2 Win=261 Len=0 SLE=1 SRE=2"
"46","1.282865","142.250.4.94","192.168.43.205","TCP","66","80  >  63073 [ACK] Seq=1 Ack=2 Win=286 Len=0 SLE=1 SRE=2"
"47","2.327714","192.168.43.205","142.251.12.132","TCP","66","63118  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1"
"48","2.338231","192.168.43.205","74.125.130.119","TCP","66","63119  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1"
"49","2.393017","142.251.12.132","192.168.43.205","TCP","66","443  >  63118 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1344 SACK_PERM=1 WS=256"
"50","2.393017","74.125.130.119","192.168.43.205","TCP","66","443  >  63119 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1344 SACK_PERM=1 WS=256"
"51","2.393404","192.168.43.205","74.125.130.119","TCP","54","63119  >  443 [RST] Seq=1 Win=0 Len=0"
"52","2.393570","192.168.43.205","142.251.12.132","TCP","54","63118  >  443 [ACK] Seq=1 Ack=1 Win=65792 Len=0"
"53","2.400709","192.168.43.205","142.251.12.132","TLSv1.3","709","Client Hello"
"54","2.400817","192.168.43.205","142.251.12.132","TLSv1.3","230","Change Cipher Spec, Application Data"
"55","2.452200","142.251.12.132","192.168.43.205","TCP","54","443  >  63118 [ACK] Seq=1 Ack=656 Win=67072 Len=0"
"56","2.452483","142.251.12.132","192.168.43.205","TCP","54","443  >  63118 [ACK] Seq=1 Ack=832 Win=68352 Len=0"
"57","2.452483","142.251.12.132","192.168.43.205","TLSv1.3","816","Server Hello, Change Cipher Spec, Application Data, Application Data"
"58","2.452483","142.251.12.132","192.168.43.205","TLSv1.3","116","Application Data"
"59","2.452483","142.251.12.132","192.168.43.205","TLSv1.3","85","Application Data"
"60","2.452727","192.168.43.205","142.251.12.132","TCP","54","63118  >  443 [ACK] Seq=832 Ack=856 Win=64768 Len=0"
"61","2.457963","192.168.43.205","142.251.12.132","TLSv1.3","138","Application Data, Application Data"
"62","2.462566","192.168.43.205","142.251.12.132","TLSv1.3","85","Application Data"
"63","2.508490","142.251.12.132","192.168.43.205","TCP","54","443  >  63118 [ACK] Seq=856 Ack=947 Win=68352 Len=0"
"64","3.167906","192.168.43.205","142.251.10.93","TLSv1.2","496","Application Data"
"65","3.237185","142.251.10.93","192.168.43.205","TCP","54","443  >  63115 [ACK] Seq=1 Ack=443 Win=292 Len=0"
"66","3.237185","142.251.10.93","192.168.43.205","TLSv1.2","132","Application Data"
"67","3.239882","192.168.43.205","142.251.10.93","TLSv1.2","93","Application Data"
"68","3.316964","142.251.10.93","192.168.43.205","TCP","54","443  >  63115 [ACK] Seq=79 Ack=482 Win=292 Len=0"
